Date,Open,High,Low,Close,Volume,Adj Close
2011-07-06,133.94,134.60001,133.59,134.42,3020500,124.53114
2011-07-05,134.24001,134.55,133.86,134.30,3695200,124.41998
2011-07-01,132.44,134.55,132.23,134.35001,4446100,124.4663
2011-06-30,131.58,132.63,131.45,132.42,3940200,122.67828
2011-06-29,130.61,131.37,130.17999,131.22,3734000,121.56656
2011-06-28,128.89,130.07001,128.72,130.03,3252800,120.4641
2011-06-27,127.34,128.88,127.11,128.36,3325900,118.91696
2011-06-24,128.73,128.82001,127.08,127.29,4906600,117.92567
2011-06-23,127.59,128.82001,126.64,128.75,5491400,119.27827
2011-06-22,130.12,130.86,129.64,129.71001,3310300,119.60716
2011-06-21,129.39,130.75999,129.25999,130.50,3154300,120.33562
2011-06-20,127.63,129.02,127.63,128.78999,1636400,118.7588
2011-06-17,128.95,128.97,127.68,128.09,2377000,118.11333
2011-06-16,127.50,128.39,126.75,127.68,3325900,117.73527
2011-06-15,128.67,129.06,127.11,127.45,3986300,117.52318
2011-06-14,129.25999,130.19,129.25,129.75,1600500,119.64404
2011-06-13,128.25999,128.64999,127.47,128.14,1835500,118.15944
2011-06-10,129.24001,129.34,127.69,128.03999,2435200,118.06722
2011-06-09,129.17999,130.35001,128.89,129.82001,1659300,119.7086
2011-06-08,129.19,129.60001,128.60001,128.85001,3177300,118.81414
2011-06-07,130.10001,130.49001,129.30,129.38,2401700,119.30286
2011-06-06,130.58,130.78999,129.30,129.50,2520200,119.41351
2011-06-03,130.56,131.86,130.53,130.88,3306300,120.68603
2011-06-02,132.44,132.67999,131.41,132.16,3454700,121.86633
2011-06-01,135.00,135.05,132.22,132.33,4095400,122.02309
2011-05-31,135.24001,135.36,134.30,135.31,4150900,124.77098
2011-05-27,133.83,134.31,133.64999,134.00,3266700,123.56301
2011-05-26,132.50,133.67999,132.23,133.46001,2618600,123.06508
2011-05-25,131.85001,133.38,131.84,132.81,2045600,122.4657
2011-05-24,132.86,133.17,132.13,132.42,3373300,122.10608
2011-05-23,132.45,132.92,132.03999,132.47,2141500,122.15218
2011-05-20,134.80,134.96001,133.83,134.09,2726700,123.646
2011-05-19,135.25999,135.49001,134.39999,135.09,2160900,124.56812
2011-05-18,133.66,134.94,133.39999,134.83,2177600,124.32837
2011-05-17,133.12,133.78999,132.58,133.61,8854200,123.20339
2011-05-16,133.97,135.06,133.42,133.64,1836500,123.23106
2011-05-13,135.60001,135.77,134.03,134.50,1865300,124.02407
2011-05-12,134.57001,135.80,133.84,135.52,2112400,124.96463
2011-05-11,136.13,136.14999,134.28,134.92999,2223300,124.42057
2011-05-10,135.62,136.57001,135.48,136.34,2002900,125.72076
2011-05-09,134.67,135.57001,134.44,135.17999,1477300,124.6511
2011-05-06,135.42999,136.08,134.13,134.61,3513300,124.1255
2011-05-05,134.50999,135.41,133.47,134.13,3025300,123.68289
2011-05-04,136.11,136.17999,134.70,135.28,4833300,124.74332
2011-05-03,136.39999,136.66,135.50,136.19,4023400,125.58244
2011-05-02,137.62,137.64,136.41,136.73,2540300,126.08038
2011-04-29,136.61,137.03,136.45,136.94,5687300,126.27402
2011-04-28,135.91,136.75,135.87,136.57001,3512600,125.93285
2011-04-27,135.50999,136.33,134.97,136.10001,2490900,125.49946
2011-04-26,134.53,135.50999,134.36,135.23,3105800,124.6972
2011-04-25,134.14,134.32001,133.66,134.11,1283900,123.66444
2011-04-21,134.23,134.28,133.75999,134.21001,3250300,123.75666
2011-04-20,133.35001,133.85001,133.25,133.62,2171000,123.21261
2011-04-19,131.19,131.78999,130.89,131.72,2164800,121.4606
2011-04-18,130.98,131.25999,129.95,131.00,2618600,120.79668
2011-04-15,132.25,132.81,131.85001,132.56,3092900,122.23517
2011-04-14,131.16,132.20,130.72,131.99001,3459600,121.70957
2011-04-13,132.52,132.62,131.42,131.88,2776200,121.60814
2011-04-12,132.16,132.42,131.42999,131.89,2894200,121.61736
2011-04-11,133.45,133.89,132.60001,132.91,3295600,122.55791
2011-04-08,134.35001,134.46001,132.77,133.30,3782700,122.91754
2011-04-07,133.86,134.39,133.13,133.78,2855500,123.36015
2011-04-06,134.33,134.42999,133.57001,134.09,3076600,123.646
2011-04-05,133.42999,134.27,133.39999,133.64999,5449900,123.24027
2011-04-04,133.89999,134.12,133.34,133.80,2484000,123.37859
2011-04-01,133.91,134.22,133.30,133.61,3588700,123.20339
2011-03-31,133.08,133.42,132.89999,133.00999,2152200,122.65012
2011-03-30,133.00999,133.60001,132.82001,133.20,3808600,122.82533
2011-03-29,131.34,132.33,130.88,132.33,2070200,122.02309
2011-03-28,132.07001,132.36,131.39,131.44,1737100,121.20241
2011-03-25,131.66,132.31,131.39999,131.73,2220900,121.46982
2011-03-24,131.46001,132.13,130.72,131.94,2842600,121.11112
2011-03-23,129.95,131.03999,129.37,130.67,1729900,119.94535
2011-03-22,130.75,130.91,130.21001,130.31,2219100,119.6149
2011-03-21,130.39,131.03999,130.22,130.77,3135100,120.03715
2011-03-18,129.86,129.92,128.53999,128.78,2602500,118.21047
2011-03-17,128.50,128.83,127.57,128.27,5163400,117.74233
2011-03-16,128.64,129.02,125.75,126.67,5094600,116.27365
2011-03-15,127.04,129.81,126.95,129.09,4060200,118.49503
2011-03-14,130.46001,130.94,129.55,130.53999,3516700,119.82602
2011-03-11,129.99001,131.78,129.88,131.42,4377700,120.6338
2011-03-10,131.50,131.52,130.28999,130.44,3029100,119.73423
2011-03-09,132.80,133.27,132.10001,132.87,1651600,121.96478
2011-03-08,132.14,133.49001,131.56,133.03999,2235600,122.12083
2011-03-07,133.37,133.64999,131.24001,131.96001,2437700,121.12949
2011-03-04,133.91,133.96001,132.10001,132.96001,2002700,122.04741
